Time,Num c bots
19273.88509,100
19273.88515,99
19273.88515,100
19273.88516,99
19273.88516,100
19273.88516,99
19273.88516,100
19273.88517,99
19273.88517,100
19273.88526,99
19273.88526,100
19273.88529,99
19273.88529,100
19273.8853,99
19273.8853,100
19273.88531,99
19273.88532,100
19273.88532,99
19273.88532,100
19273.88533,99
19273.88533,100
19273.88535,99
19273.88536,100
19273.88541,99
19273.88541,100
19273.88544,99
19273.88544,100
19273.88547,99
19273.88547,100
19273.88549,99
19273.88549,100
19273.88551,99
19273.88551,100
19273.88552,99
19273.88552,100
19273.88574,99
19273.88575,100
19273.8858,99
19273.8858,100
19273.88584,99
19273.88584,100
19273.88586,99
19273.88586,100
19273.88612,99
19273.88612,100
19273.88613,99
19273.88613,100
19273.8862,99
19273.8862,100
19273.88625,99
19273.88626,100
19273.8864,99
19273.8864,100
19273.88645,99
19273.88645,100
Time,Num poison
19273.88253,1
19273.88256,2
19273.88257,3
19273.88257,4
19273.88261,5
19273.88262,6
19273.88262,7
19273.88265,8
19273.88268,9
19273.88273,10
19273.88281,11
19273.88284,12
19273.88285,13
19273.88288,14
19273.88293,13
19273.88299,12
19273.883,13
19273.88301,12
19273.88301,13
19273.88302,14
19273.88304,15
19273.88304,16
19273.88305,15
19273.88308,16
19273.88309,17
19273.88309,18
19273.8831,19
19273.88311,20
19273.88323,19
19273.88323,20
Time,Avg attr food c
19273.88252,0.020402627
19273.88252,0.020411897
19273.88252,0.020221724
19273.88252,0.020260478
19273.88276,0.020206915
19273.88277,0.020115531
19273.88279,0.020019832
19273.88285,0.019841378
19273.88291,0.019841378
19273.88306,0
Time,Avg attr food h
19273.88252,0.020163474
19273.88252,0.020130277
19273.88252,0.01993635
19273.88252,0.020111034
19273.88252,0.020013832
19273.88252,0.02003488
19273.88252,0.020088051
19273.88252,0.020078949
19273.88252,0.019966276
19273.88252,0.019961125
19273.88254,0.019941237
19273.88259,0.02005078
19273.8826,0.02003468
19273.88264,0.02004248
19273.88265,0.020060725
19273.88265,0.020002999
19273.88266,0.0200939
19273.88273,0.020080788
19273.88285,0.020083116
19273.88286,0.02007463
19273.88286,0.019994565
19273.88287,0.01999112
19273.88293,0.019969929
19273.88302,0.020056155
19273.88306,0.020042513
19273.88313,0.019848699
19273.88322,0.019882005
19273.88323,0.019828237
19273.88343,0.019765906
19273.88349,0.019828237
